time,latitude,longitude,altitude,speed,yaw,pitch,roll,yaw_rate,pitch_rate,roll_rate
4.9,32.1112269950,126.0000000000,300.002,200.000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.0,32.1110479541,126.0000000000,300.002,200.000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.1,32.1108689132,126.0000000000,300.002,200.000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.2,32.1106898722,126.0000000000,300.002,200.000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.3,32.1105108313,126.0000000000,300.002,200.000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.4,32.1103317904,126.0000000000,300.002,200.000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.5,32.1101527495,126.0000000000,300.002,200.000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.6,32.1099737086,126.0000000000,300.002,200.000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.7,32.1097946677,126.0000000000,300.002,200.000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.8,32.1096156267,126.0000000000,300.002,200.000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.9,32.1094365858,126.0000000000,300.002,200.000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6.0,32.1092575449,126.0000000000,300.002,200.000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6.1,32.1090785040,126.0000000000,300.002,200.000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6.2,32.1088994631,126.0000000000,300.002,200.000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6.3,32.1087204221,126.0000000000,300.002,200.000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6.4,32.1085413812,126.0000000000,300.002,200.000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6.5,32.1083623403,126.0000000000,300.002,200.000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6.6,32.1081832994,126.0000000000,300.002,200.000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6.7,32.1080042585,126.0000000000,300.002,200.000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6.8,32.1078252175,126.0000000000,300.002,200.000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6.9,32.1076461766,126.0000000000,300.002,200.000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7.0,32.1074671357,126.0000000000,300.002,200.000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7.1,32.1072880948,126.0000000000,300.002,200.000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7.2,32.1071090539,126.0000000000,300.002,200.000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7.3,32.1069300130,126.0000000000,300.002,200.000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
